city,cloudiness,country,date,humidity,lat,lng,max temp,wind speed
Xunchang,92,CN,1553633839,96,28.45,104.71,12.19,0.96
Panaba,0,MX,1553633840,39,21.28,-88.27,32.19,4.51
Doha,90,QA,1553632200,73,25.29,51.53,23.0,7.2
Smidovich,80,RU,1553633840,66,48.6,133.81,-4.42,3.11
Antofagasta,0,CL,1553630400,68,-23.65,-70.4,20.0,7.2
Rorvik,75,NO,1553633702,100,64.86,11.24,3.0,4.6
Omboue,12,GA,1553633841,100,-1.57,9.26,28.59,4.21
Hervey Bay,90,AU,1553633580,94,-25.3,152.85,23.33,3.1
Cabedelo,75,BR,1553630400,94,-6.97,-34.84,24.0,3.1
Berlevag,20,NO,1553631600,73,70.86,29.09,-3.0,2.1
Bijawar,0,IN,1553633843,41,24.62,79.49,16.54,1.41
Aksu,0,KZ,1553632200,86,52.04,76.93,1.0,4.0
Seymchan,44,RU,1553633844,73,62.93,152.39,-15.22,7.26
Haines Junction,20,CA,1553633844,55,60.75,-137.51,2.79,1.41
Bose,0,IT,1553633766,26,45.46,8.01,10.0,1.0
Vestmanna,88,FO,1553631600,81,62.16,-7.17,7.0,5.1
Carutapera,88,BR,1553633845,90,-1.2,-46.02,26.49,1.96
Kargasok,0,RU,1553633846,83,59.06,80.87,-1.97,3.46
Gizo,40,IL,1553633813,67,31.8,34.94,16.0,2.6
Bukama,44,CD,1553633847,95,-9.2,25.85,20.79,1.31
Zhezkazgan,88,KZ,1553633847,93,47.8,67.71,3.74,6.96
Hobyo,92,SO,1553633847,87,5.35,48.53,27.59,5.61
Marquette,5,US,1553633749,25,46.54,-87.4,8.33,4.6
Henties Bay,24,NA,1553630542,92,-22.12,14.28,16.11,1.34
